user_id,session_id,ui_version,time_spent_seconds,page_clicks,scroll_depth,datetime
67,67_2137,New,201,6,0.66,2025-06-22 20:33:04
68,68_5152,Old,193,3,0.44,2025-06-30 15:21:30
69,69_9068,New,307,5,0.72,2025-06-28 07:32:19
69,69_9605,Old,325,2,0.43,2025-06-06 13:37:10
69,69_9549,New,303,4,0.81,2025-06-16 06:33:01
69,69_3555,Old,261,6,0.59,2025-06-02 07:46:33
70,70_1182,New,249,7,0.69,2025-06-23 11:40:48
70,70_7846,Old,183,4,0.62,2025-06-04 03:35:23
71,71_8758,Old,264,2,0.61,2025-06-25 03:38:04
71,71_7056,Old,177,4,0.64,2025-06-06 23:04:56
72,72_3224,Old,276,6,0.4,2025-06-06 06:16:07
72,72_4796,New,228,7,0.75,2025-06-21 05:24:41
73,73_3587,Old,178,3,0.66,2025-06-09 03:10:22
74,74_3257,New,238,7,0.8,2025-06-05 18:41:00
74,74_8170,New,287,4,0.61,2025-06-28 18:56:04
75,75_2548,New,273,7,0.82,2025-06-25 15:21:36
76,76_3661,New,341,5,0.74,2025-06-17 07:44:35
76,76_3745,Old,208,1,0.49,2025-06-12 04:55:34
77,77_9224,New,271,2,0.69,2025-06-23 18:22:35
77,77_5579,New,270,5,0.67,2025-06-13 14:21:40
77,77_4276,Old,232,9,0.62,2025-06-15 03:49:46
77,77_1025,New,199,8,0.87,2025-06-25 15:06:35
78,78_5781,New,274,4,0.69,2025-06-18 18:06:11
78,78_3783,New,266,10,0.9,2025-06-29 17:59:23
78,78_5958,New,283,6,0.74,2025-06-28 20:54:25
78,78_8186,Old,228,9,0.62,2025-06-23 16:55:22
79,79_7976,New,262,4,0.6,2025-06-11 09:48:21
79,79_2636,New,295,5,0.61,2025-06-28 16:56:38
79,79_8618,New,190,5,0.83,2025-06-12 16:35:24
80,80_4824,Old,232,7,0.47,2025-06-03 16:22:56
80,80_9345,New,268,5,0.8,2025-06-13 06:02:15
80,80_3780,New,369,10,0.66,2025-06-04 23:11:25
80,80_5316,Old,142,3,0.42,2025-06-08 05:41:49
81,81_1270,New,330,8,0.73,2025-06-03 19:23:24
81,81_1580,New,240,5,0.66,2025-06-30 09:53:27
81,81_4156,Old,190,8,0.44,2025-06-29 12:21:47
82,82_5591,New,207,5,0.72,2025-06-27 14:35:40
82,82_4273,Old,133,6,0.63,2025-06-27 11:22:24
82,82_6310,Old,227,4,0.64,2025-06-25 10:55:08
82,82_1406,New,237,10,0.71,2025-06-26 03:26:52
83,83_4171,Old,254,2,0.61,2025-06-04 15:39:59
84,84_2293,Old,259,7,0.64,2025-06-02 07:32:30
84,84_9850,Old,170,7,0.49,2025-06-12 19:46:18
84,84_9566,New,261,3,0.72,2025-06-03 16:19:23
84,84_1139,New,266,5,0.7,2025-06-17 21:00:05
85,85_5821,Old,195,10,0.4,2025-06-05 08:50:32
85,85_6693,New,191,6,0.76,2025-06-29 18:29:22
85,85_8162,Old,133,5,0.69,2025-06-03 19:12:08
86,86_3600,New,253,6,0.74,2025-06-22 18:28:43
86,86_8519,New,169,0,0.65,2025-06-16 22:37:33
86,86_3642,Old,228,3,0.63,2025-06-26 02:00:38
87,87_9801,New,247,9,0.6,2025-06-30 20:31:06
87,87_3101,Old,218,6,0.58,2025-06-18 16:55:30
88,88_5138,New,207,4,0.71,2025-06-25 01:34:10
89,89_6485,Old,252,6,0.5,2025-06-05 10:21:04
89,89_2361,Old,129,7,0.46,2025-06-06 13:46:28
89,89_8786,Old,217,7,0.65,2025-06-25 04:56:47
89,89_1679,New,281,7,0.61,2025-06-04 07:08:32
90,90_4278,New,234,4,0.62,2025-06-01 17:28:35
90,90_3761,New,267,4,0.75,2025-06-28 15:13:46
91,91_4606,Old,228,8,0.68,2025-06-25 07:44:25
91,91_8024,New,277,5,0.69,2025-06-21 00:19:05
91,91_2700,Old,112,3,0.4,2025-06-23 20:47:16
91,91_5545,New,191,1,0.65,2025-06-05 15:27:31
92,92_8081,Old,223,3,0.58,2025-06-19 01:44:02
92,92_3294,Old,183,8,0.55,2025-06-15 03:50:32
92,92_6618,New,222,5,0.64,2025-06-13 17:46:45
92,92_7160,Old,257,12,0.63,2025-06-07 16:28:48
93,93_8260,New,321,4,0.85,2025-06-25 22:10:21
93,93_5008,Old,218,2,0.46,2025-06-13 20:43:53
94,94_4719,Old,210,8,0.68,2025-06-22 13:17:32
94,94_1002,New,345,3,0.88,2025-06-22 00:33:12
95,95_4306,New,305,2,0.83,2025-06-02 10:14:50
95,95_6167,New,339,4,0.66,2025-06-25 08:09:54
96,96_9235,Old,110,4,0.58,2025-06-29 13:52:37
96,96_2812,New,363,5,0.67,2025-06-26 23:18:32
97,97_1954,Old,275,3,0.61,2025-06-02 18:09:13
97,97_7539,New,321,7,0.81,2025-06-19 06:38:00
98,98_1922,New,293,8,0.67,2025-06-04 23:45:20
98,98_4748,Old,203,3,0.67,2025-06-22 21:57:57
98,98_9092,New,287,5,0.9,2025-06-07 08:02:55
98,98_9490,New,280,4,0.61,2025-06-29 17:06:56
99,99_3964,Old,236,1,0.49,2025-06-19 01:06:50
99,99_1165,New,203,2,0.88,2025-06-14 20:30:11
100,100_5804,Old,276,5,0.57,2025-06-21 14:51:50
101,101_3258,New,249,8,0.74,2025-06-23 10:01:28
101,101_3961,New,291,8,0.79,2025-06-27 23:27:05
101,101_8427,Old,200,3,0.63,2025-06-01 11:16:36
102,102_9566,New,360,8,0.88,2025-06-27 11:17:33
102,102_9135,Old,180,9,0.64,2025-06-12 08:55:55
103,103_3259,New,252,6,0.89,2025-06-05 01:45:49
103,103_4856,New,249,3,0.68,2025-06-10 06:29:07
104,104_7628,New,219,7,0.64,2025-06-20 19:03:18
104,104_5134,Old,197,5,0.42,2025-06-28 19:16:28
104,104_8542,New,270,6,0.75,2025-06-11 17:17:21
104,104_4216,Old,266,4,0.6,2025-06-01 15:02:22
105,105_9080,Old,193,1,0.57,2025-06-15 03:39:20
105,105_4103,New,261,7,0.81,2025-06-09 22:44:18
106,106_1186,New,241,12,0.86,2025-06-25 18:18:43
106,106_1052,New,118,11,0.7,2025-06-30 13:01:31
107,107_1307,Old,207,7,0.51,2025-06-25 20:07:26
107,107_1336,Old,151,8,0.63,2025-06-22 04:22:38
108,108_2724,New,274,9,0.79,2025-06-16 00:33:23
108,108_7771,New,288,1,0.77,2025-06-15 07:06:47
108,108_3696,New,476,9,0.78,2025-06-22 10:41:53
108,108_4113,Old,316,8,0.43,2025-06-30 19:11:23
109,109_5322,Old,263,4,0.58,2025-06-19 17:09:41
109,109_2051,New,269,8,0.68,2025-06-02 07:07:52
110,110_6869,Old,347,7,0.45,2025-06-08 11:36:59
110,110_1183,Old,188,2,0.42,2025-06-12 22:13:12
110,110_2096,New,150,3,0.88,2025-06-26 18:17:17
111,111_1270,Old,173,7,0.46,2025-06-03 08:46:43
111,111_8545,Old,307,5,0.49,2025-06-21 23:54:41
111,111_6043,Old,266,9,0.4,2025-06-15 16:11:05
111,111_7646,New,266,5,0.62,2025-06-11 11:14:38
112,112_8616,Old,241,3,0.68,2025-06-08 22:41:54
112,112_9923,New,374,3,0.63,2025-06-26 23:15:52
112,112_8000,New,201,7,0.77,2025-06-12 20:29:38
113,113_9848,Old,231,7,0.49,2025-06-06 02:04:56
113,113_8984,New,259,6,0.73,2025-06-23 07:52:37
113,113_8566,New,232,6,0.7,2025-06-19 12:50:52
113,113_7524,New,256,6,0.61,2025-06-17 08:40:12
114,114_5524,Old,246,9,0.59,2025-06-26 01:38:07
114,114_8119,Old,209,5,0.68,2025-06-03 23:09:58
115,115_3541,Old,216,7,0.41,2025-06-12 09:40:56
115,115_4177,New,201,5,0.71,2025-06-11 01:40:40
115,115_3806,Old,280,6,0.42,2025-06-11 03:44:00
116,116_1124,Old,263,7,0.64,2025-06-15 07:52:51
116,116_2048,Old,220,2,0.65,2025-06-14 05:28:44
116,116_8381,Old,175,3,0.53,2025-06-13 18:51:19
116,116_6874,New,207,8,0.62,2025-06-18 01:59:48
117,117_9090,New,229,4,0.67,2025-06-27 16:33:00
118,118_1464,Old,239,2,0.42,2025-06-24 12:33:36
118,118_7543,New,259,6,0.83,2025-06-14 20:06:32
119,119_9476,New,224,5,0.7,2025-06-20 06:07:24
119,119_2909,Old,157,4,0.44,2025-06-29 02:57:00
119,119_2311,Old,165,3,0.41,2025-06-04 05:45:23
119,119_6929,Old,250,7,0.57,2025-06-09 11:25:42
120,120_1143,Old,276,5,0.65,2025-06-16 11:31:43
121,121_3654,New,296,5,0.85,2025-06-17 08:24:03
121,121_1011,New,220,8,0.67,2025-06-03 09:07:40
121,121_2015,New,302,3,0.9,2025-06-09 18:52:31
121,121_6593,New,191,2,0.62,2025-06-25 01:10:54
122,122_4809,Old,166,5,0.67,2025-06-16 21:09:33
123,123_3172,New,365,3,0.88,2025-06-07 06:48:30
123,123_5427,Old,170,8,0.48,2025-06-22 20:00:52
124,124_6060,Old,272,2,0.61,2025-06-04 19:25:37
124,124_8148,New,212,5,0.82,2025-06-23 08:55:22
124,124_7010,Old,201,0,0.61,2025-06-14 16:28:37
125,125_9976,Old,221,6,0.58,2025-06-28 23:40:09
126,126_5603,Old,205,2,0.45,2025-06-27 08:14:13
126,126_5078,Old,273,8,0.44,2025-06-22 12:02:16
126,126_6594,New,265,7,0.69,2025-06-12 17:35:28
126,126_3158,New,219,9,0.62,2025-06-21 05:47:02
127,127_2802,Old,184,6,0.69,2025-06-26 20:06:43
127,127_2466,New,337,6,0.69,2025-06-20 13:02:24
128,128_2912,New,186,8,0.64,2025-06-13 10:00:02
129,129_8707,New,227,7,0.63,2025-06-11 04:51:57
129,129_1946,Old,212,6,0.69,2025-06-06 21:29:26
129,129_2192,Old,293,4,0.62,2025-06-10 02:56:29
129,129_9693,Old,310,2,0.43,2025-06-26 16:41:57
130,130_1919,Old,319,5,0.51,2025-06-19 16:27:44
130,130_5516,New,278,7,0.69,2025-06-17 09:40:30
130,130_2478,Old,248,3,0.68,2025-06-29 16:32:24
130,130_8928,Old,179,4,0.64,2025-06-10 01:17:07
131,131_2184,Old,320,4,0.46,2025-06-11 18:20:04
131,131_5675,New,214,11,0.79,2025-06-27 18:34:40
131,131_9456,Old,227,4,0.53,2025-06-26 07:04:14
131,131_6506,New,226,7,0.74,2025-06-19 17:10:06
132,132_1556,New,316,4,0.66,2025-06-08 19:53:54
133,133_7256,Old,229,9,0.42,2025-06-05 08:57:09
134,134_6649,Old,181,0,0.6,2025-06-30 05:55:41
135,135_3226,Old,225,2,0.5,2025-06-24 04:16:15
135,135_1813,Old,226,4,0.45,2025-06-25 14:34:57
135,135_9558,New,288,5,0.83,2025-06-18 13:49:00
136,136_6428,New,233,7,0.77,2025-06-26 18:13:47
137,137_3962,New,293,4,0.76,2025-06-28 17:21:55
138,138_2366,New,282,7,0.71,2025-06-28 00:31:24
139,139_6014,New,214,5,0.62,2025-06-30 21:56:08
139,139_5530,Old,222,5,0.53,2025-06-10 23:37:21
139,139_7772,New,254,2,0.75,2025-06-28 22:08:58
140,140_3296,New,264,5,0.72,2025-06-29 21:02:47
141,141_2058,New,240,5,0.84,2025-06-30 11:18:40
141,141_8192,Old,179,4,0.58,2025-06-16 02:39:55
141,141_3068,Old,161,6,0.51,2025-06-26 23:47:03
141,141_1478,Old,199,6,0.67,2025-06-15 19:26:58
142,142_4676,Old,259,4,0.42,2025-06-13 09:39:09
143,143_2140,Old,322,5,0.69,2025-06-11 03:51:58
143,143_2174,Old,220,8,0.46,2025-06-29 08:19:44
143,143_2605,Old,315,4,0.64,2025-06-03 04:23:33
143,143_3263,Old,173,7,0.55,2025-06-09 01:14:26
144,144_5327,Old,270,9,0.55,2025-06-19 09:43:19
144,144_8037,Old,191,1,0.53,2025-06-02 16:08:35
144,144_1687,New,238,8,0.86,2025-06-21 11:26:04
144,144_2754,New,298,6,0.78,2025-06-16 21:52:57
145,145_2412,New,227,9,0.89,2025-06-16 21:50:48
145,145_7414,New,277,6,0.6,2025-06-18 20:48:39
145,145_7924,Old,229,3,0.44,2025-06-01 05:28:19
145,145_5645,New,168,5,0.84,2025-06-14 03:11:21
146,146_8951,New,194,9,0.66,2025-06-18 19:38:31
146,146_7852,Old,104,0,0.67,2025-06-10 23:11:58
146,146_8893,New,306,6,0.82,2025-06-22 08:42:14
147,147_2128,Old,265,3,0.41,2025-06-23 16:27:32
147,147_3741,New,313,5,0.84,2025-06-13 23:11:02
147,147_1145,New,291,10,0.61,2025-06-10 02:18:53
148,148_7103,Old,167,2,0.57,2025-06-27 22:13:16
148,148_8995,Old,181,10,0.65,2025-06-03 18:13:45
148,148_8607,New,207,2,0.86,2025-06-22 05:46:30
149,149_3757,Old,160,5,0.43,2025-06-05 01:31:30
150,150_1585,Old,224,9,0.52,2025-06-11 13:20:55
150,150_9320,Old,344,5,0.48,2025-06-22 21:27:20
150,150_1026,New,304,7,0.83,2025-06-26 04:53:13
150,150_3460,Old,243,13,0.53,2025-06-02 10:29:06
151,151_5078,New,268,7,0.72,2025-06-10 09:59:52
151,151_4672,Old,255,5,0.46,2025-06-23 10:27:04
151,151_1343,Old,143,5,0.57,2025-06-08 06:17:03
152,152_4001,Old,233,4,0.49,2025-06-11 00:02:28
152,152_1556,Old,220,3,0.55,2025-06-18 04:14:23
152,152_1996,New,250,11,0.73,2025-06-23 06:47:29
153,153_9857,New,285,5,0.62,2025-06-03 14:02:57
154,154_1143,New,332,5,0.78,2025-06-26 11:45:14
154,154_8328,Old,178,9,0.55,2025-06-26 03:45:38
154,154_6091,Old,207,7,0.62,2025-06-08 14:23:07
155,155_8489,Old,240,3,0.65,2025-06-04 18:51:39
156,156_6365,Old,211,5,0.51,2025-06-30 18:07:26
156,156_7666,Old,246,4,0.5,2025-06-15 07:38:28
157,157_5517,New,214,5,0.76,2025-06-08 19:04:03
157,157_7665,Old,249,2,0.61,2025-06-26 01:33:48
157,157_6204,New,290,4,0.7,2025-06-22 18:36:27
158,158_4518,New,433,5,0.73,2025-06-25 11:30:09
158,158_6645,Old,164,7,0.41,2025-06-16 04:13:00
159,159_3603,New,262,6,0.75,2025-06-10 03:26:17
160,160_9119,Old,206,5,0.57,2025-06-28 12:05:48
160,160_5938,Old,279,2,0.53,2025-06-23 15:16:43
160,160_8164,New,248,9,0.76,2025-06-22 14:28:20
160,160_7353,Old,188,3,0.45,2025-06-05 05:38:39
161,161_1004,New,215,5,0.6,2025-06-26 08:31:25
161,161_5763,Old,183,8,0.67,2025-06-18 06:26:54
161,161_3892,Old,229,6,0.63,2025-06-09 14:41:01
162,162_7154,New,255,4,0.66,2025-06-12 23:06:49
163,163_9446,New,246,2,0.71,2025-06-04 13:47:35
163,163_9447,Old,92,5,0.55,2025-06-16 15:51:43
163,163_9761,Old,227,6,0.47,2025-06-14 23:21:07
163,163_3446,Old,183,4,0.47,2025-06-05 02:40:57
164,164_5196,New,225,7,0.67,2025-06-03 01:15:20
164,164_4407,Old,176,6,0.5,2025-06-12 10:08:04
164,164_2173,New,182,2,0.81,2025-06-04 08:12:57
164,164_1246,Old,228,9,0.69,2025-06-30 13:13:19
165,165_7997,New,258,5,0.85,2025-06-18 08:29:18
165,165_7811,New,245,4,0.83,2025-06-16 00:20:10
166,166_1364,Old,128,6,0.67,2025-06-12 17:43:27
167,167_7537,New,275,2,0.61,2025-06-10 20:26:34
167,167_4129,Old,195,5,0.58,2025-06-25 14:42:52
167,167_1445,New,309,5,0.76,2025-06-29 12:01:44
167,167_9347,Old,221,5,0.57,2025-06-05 21:23:19
168,168_1551,New,229,5,0.68,2025-06-03 00:47:23
168,168_6616,New,250,7,0.76,2025-06-23 22:11:11
168,168_6585,New,285,2,0.62,2025-06-21 05:30:34
169,169_3775,Old,205,7,0.52,2025-06-29 14:37:50
169,169_4406,Old,217,6,0.44,2025-06-28 20:03:00
169,169_6053,New,250,9,0.63,2025-06-07 23:49:40
170,170_7654,New,302,7,0.61,2025-06-09 23:04:24
170,170_1087,Old,205,4,0.69,2025-06-25 14:31:18
171,171_7606,New,235,1,0.71,2025-06-30 11:13:48
171,171_1118,Old,287,4,0.65,2025-06-02 18:12:33
171,171_9177,New,218,3,0.86,2025-06-03 19:52:15
171,171_4209,New,279,3,0.75,2025-06-07 23:12:56
172,172_4557,New,181,5,0.82,2025-06-04 21:38:53
173,173_2164,New,144,6,0.86,2025-06-27 12:36:26
173,173_3581,Old,233,4,0.57,2025-06-15 09:27:35
173,173_2548,Old,235,3,0.48,2025-06-24 04:37:31
174,174_9714,New,367,4,0.65,2025-06-30 09:13:22
174,174_7559,Old,271,6,0.63,2025-06-20 14:13:07
174,174_3689,New,231,6,0.86,2025-06-22 09:47:45
174,174_5777,New,256,3,0.86,2025-06-27 10:53:28
175,175_2932,Old,213,5,0.53,2025-06-09 10:46:45
175,175_1564,Old,262,7,0.5,2025-06-27 11:16:14
